,period,seriesId,seriesDescription,stateId,stateDescription,value,unit
3668,2015,BMTCB,Biomass total consumption,FL,Florida,251293,Billion Btu
3669,2015,BMTCB,Biomass total consumption,IA,Iowa,252726,Billion Btu
3670,2015,BMTCB,Biomass total consumption,VT,Vermont,26814,Billion Btu
3671,2015,BMTCB,Biomass total consumption,NJ,New Jersey,59875,Billion Btu
3672,2015,BMTCB,Biomass total consumption,IN,Indiana,121363,Billion Btu
3673,2015,BMTCB,Biomass total consumption,CT,Connecticut,40975,Billion Btu
3674,2015,BMTCB,Biomass total consumption,LA,Louisiana,145621,Billion Btu
3675,2015,BMTCB,Biomass total consumption,KS,Kansas,46192,Billion Btu
3676,2015,BMTCB,Biomass total consumption,DE,Delaware,6037,Billion Btu
3677,2015,BMTCB,Biomass total consumption,CO,Colorado,41942,Billion Btu
3678,2015,GETCB,Geothermal energy total consumption,MO,Missouri,352,Billion Btu
3679,2015,BMTCB,Biomass total consumption,AR,Arkansas,95088,Billion Btu
3680,2015,GETCB,Geothermal energy total consumption,NE,Nebraska,1212,Billion Btu
3681,2015,GETCB,Geothermal energy total consumption,VA,Virginia,1701,Billion Btu
3682,2015,WYTCP,Wind electricity total net generation,MT,Montana,1965,Million kilowatthours
3683,2015,GEEGP,Geothermal electricity net generation in the electric power sector,AK,Alaska,0,Million kilowatthours
3684,2015,BMTCB,Biomass total consumption,MD,Maryland,49076,Billion Btu
3685,2015,BMTCB,Biomass total consumption,NY,New York,160141,Billion Btu
3686,2015,BMTCB,Biomass total consumption,TN,Tennessee,105705,Billion Btu
3687,2015,SOTCB,Solar energy total consumption,MO,Missouri,1541,Billion Btu
3688,2015,SOTCB,Solar energy total consumption,IA,Iowa,419,Billion Btu
3689,2015,SOTCB,Solar energy total consumption,MD,Maryland,4373,Billion Btu
3690,2015,HYTCB,Hydropower total consumption,MI,Michigan,13964,Billion Btu
3691,2015,SOTCB,Solar energy total consumption,NC,North Carolina,13863,Billion Btu
3692,2015,GEEGP,Geothermal electricity net generation in the electric power sector,MS,Mississippi,0,Million kilowatthours
3693,2015,GETCB,Geothermal energy total consumption,DC,District of Columbia,22,Billion Btu
